,iv_surface,skew,slope,log_returns
1799,"[[4.89386902 1.87859421 0.32382678 0.73942013 1.11979041]
 [6.26355393 1.1291232  0.06856136        nan 0.95632868]
 [4.85801527 1.89139063 0.2738261         nan 1.2707852 ]
 [6.190292   2.56610463 0.27290409 0.78598624 1.03378696]
 [4.50754831 2.02921696        nan 0.66809476        nan]]",0.6171551130614537,,0.0001732731325924278
1800,"[[5.57913639 3.72809064 1.68108939 1.13844075 0.07973762]
 [6.04330119 3.41909368 2.16747833 0.96701298 0.2307493 ]
 [5.85647571 3.90742559 2.40166273 0.48810072 0.27029472]
 [4.80462965 3.80765852 2.34200727 0.9693621         nan]
 [5.83626835 4.08793719 2.26742323 1.04142051 0.29743443]]",-0.922859061635684,0.09994490302522241,-0.0036325148724835397
1801,"[[5.83531006 2.27990136 1.30839912 0.19791629 1.03755473]
 [5.52921675 3.41048994 0.9650356  0.344572          nan]
 [4.75784845 3.85140035        nan 0.69417103 1.23897106]
 [4.99398158 2.77466496 1.19873313 0.58379334 1.28960819]
 [6.11606419 3.69659677 0.69703754        nan        nan]]",-0.10329732088985666,-0.2679980600244356,0.0009892872385725202
1802,"[[5.54179158 3.13460539 1.72948326 0.27132242 0.59390289]
 [5.96885919 3.32384712 1.26670209 0.33843601 0.70504803]
 [4.4098264  3.54957843 1.2063707  0.34432385        nan]
 [5.51421673 3.41805833 1.36281325 0.37971302        nan]
 [       nan 2.67256047 0.89581868 0.04712883 0.7805895 ]]",0.15635940115241653,-0.37088341116072265,-0.0014734884951613583
1803,"[[5.37442435 2.8293998  0.31067592 0.61406659 0.97432985]
 [5.79771413 3.53276804 0.66489832 0.17140877 1.07071221]
 [5.28525913 2.57462562 0.48916875 0.35498728        nan]
 [6.14867694 2.25196185 1.09994537 0.3584264  1.34809078]
 [5.6620223  3.09794831 1.12854927 0.62883073        nan]]",-0.153177643958061,0.4636509544924482,0.0005041788387619554
1804,"[[5.64504028        nan 0.19738293 0.14301326 0.42618851]
 [4.74476579 2.16395891 0.32405471 0.24278355 0.33784035]
 [5.1310391  2.67336923 1.04587057 0.24752282 0.37337153]
 [5.45705164 2.08290764 0.06310932        nan 0.44282058]
 [5.30605521 3.20884061 0.73877272 0.12977459 0.50504538]]",,0.4147180082339932,-0.0005038071026448888
1805,"[[5.17631188 3.92333197 2.51493923 0.77699947        nan]
 [5.9569112  3.52922687 2.54621574 0.8875109  0.30448323]
 [5.44264454 3.95653032 1.99545917 1.44276194        nan]
 [5.46974646 3.98535996 2.65994212 1.22369899        nan]
 [5.62698083 3.5755475  2.00502084 1.40109595 0.20253387]]",-1.279111628704504,-0.5411949038360326,-0.003645767340946172
1806,"[[5.54062427        nan 2.30712708 1.15874851 0.18313931]
 [5.46813665 3.19695767 1.93587248 1.22248864        nan]
 [6.0686852  3.67244846 2.31924063 0.86096675 0.241172  ]
 [5.92267115 3.91011485 2.01097047 1.1112146  0.22502983]
 [5.65807388 4.26440304 2.86381005 1.05606675 0.28141482]]",-0.6115203407754333,0.9279375715247582,-0.002884993087655786
1807,"[[6.19870191 3.63093449 2.65258996 0.91371755 0.49533691]
 [5.52307238 3.53851943 1.95193935 0.58242547 0.82162013]
 [6.11608237 3.69408744 1.30747946 0.1963124  0.73586292]
 [5.5443441  4.04389685 1.71464409 0.52698055        nan]
 [5.49138757 3.72894727 1.91171722 1.06258489 0.41816952]]",0.04381406633386731,-0.04022212673305248,-0.006115930390813194
1808,"[[5.84014655 4.16589638 2.6267081  1.47638915 0.77983562]
 [6.3129388  4.28271813 3.05665398 1.5392439  0.84537909]
 [5.85131965 4.27004163 2.75748551 1.75831726 0.52956813]
 [6.04439342 4.10162657 2.74520727 1.8731803  0.75959069]
 [6.08130398 3.98266873 2.65163123 1.61855956 0.90150652]]",-1.6309841345698382,-0.40502274613866707,-0.0020491802003752132
1809,"[[5.50359353 3.22020251 1.34046002 0.12938315 0.42418977]
 [5.2842564  3.16634241 1.65507216 0.20353266 0.44970846]
 [6.06586954 3.46953296 0.80544737        nan 0.34740502]
 [5.84194377 2.9993196         nan 0.10481806 0.3141255 ]
 [6.0423793  3.17805573 0.86802898 0.0999664         nan]]",,-0.7870431745848562,0.0017367983730245228
1810,"[[5.49138506 2.72507267 0.09094072        nan 0.13402324]
 [5.93267356 2.24765467        nan 0.08508567 0.11262062]
 [5.28550133 1.63086018        nan        nan 0.1131022 ]
 [4.79326458 3.41481274 0.01998832 0.08748142        nan]
 [5.61292033 1.15479414        nan 0.06873254 0.1348773 ]]",1.6436773420024677,,-0.0011247558762334546
1811,"[[3.73114503 1.92615545 0.42929992        nan 1.061529  ]
 [5.8357185  1.08323558        nan 0.76100729        nan]
 [4.9326705         nan 0.38333267 0.68835309 0.95842435]
 [4.53784683 1.48660873 0.29556097 0.82918322 1.1626792 ]
 [5.74590265 1.60550906 0.29564332 0.74520891 1.21885095]]",0.03315177797500801,,-0.001624641827349871
1812,"[[0.53356209 0.27198148 0.13414519 0.27238352        nan]
 [0.53915796 0.26123693 0.17462806 0.27161664 0.37417929]
 [0.41999233 0.24371672        nan 0.25156845 0.37328479]
 [0.51767053 0.29737685 0.15651878 0.26821798 0.3281027 ]
 [0.4624625  0.30248674 0.17266068 0.23930385 0.36516956]]",-0.1419393384762578,-0.0019673839689895167,0.0029608563746105648
1813,"[[5.15768839 1.34759377 0.27461539        nan 0.8126453 ]
 [4.60400461 1.42892554 0.32027607 0.50834152 0.8560333 ]
 [5.22039169 1.52738711 0.24289415 0.48654754 0.73815441]
 [3.70375189 1.33579008 0.4103867  0.64006965 0.84281554]
 [5.69641642 0.84622921 0.18850804 0.54039402 0.70674365]]",-0.06252649080306427,-0.13176803069785317,0.0023847197359322253
1814,"[[6.48652236 4.2881043  3.01885584 1.98380066 0.26558108]
 [5.58954327 4.98495283 2.54511445 1.53196973        nan]
 [6.18851053 3.99681005 2.84995212 1.68947755 0.85653794]
 [5.5571523  4.09680056 2.78404222 1.39445768 0.85212859]
 [5.8461786  4.81639418        nan 1.49327637 0.52099471]]",-1.4328707799682552,,-0.00078599914685583
1815,"[[3.82177397 1.08426932 0.53821102 0.81342594 1.19062856]
 [2.71343755 0.35919865 0.40307012 0.76306756 1.25109279]
 [4.36259564 0.05174431 0.46226174 0.71291545 1.14094373]
 [5.99686488 1.99426025        nan 0.9545229  1.18131429]
 [5.19252793 0.50698991 0.32910712 0.88841596 1.09370028]]",,-0.07396300098847153,-0.00384497413095904
1816,"[[5.68523017 3.79232713 2.73018425        nan 0.19036252]
 [5.80196585 3.90932454 2.22247876 1.12918357 0.57510034]
 [5.83183584 3.54641893 1.90983722        nan 0.28553386]
 [5.85606965 3.80631582 2.15087092 1.14173171 0.27906039]
 [5.94541515 4.00650468 1.79643499 0.61122483        nan]]",-0.8185788721283849,-0.42604377046234876,-0.0029226460376885434
1817,"[[6.17201579 4.16295627 3.29887801 1.99002907 0.99508381]
 [5.7957957  4.7944545  2.9746346  1.95579093 1.41373159]
 [5.57836317 4.33212195 3.03841055 2.07733022 1.34388235]
 [6.2192924  4.42128682 3.0438139  2.13034069 1.14990193]
 [6.01335024 4.38718256 2.65044689 1.73003482 1.12235862]]",-1.8983408397788966,-0.3241877085039677,0.0025284562122690974
1818,"[[5.23901616 3.6954248  1.84183656 1.38748091 0.28426097]
 [5.66520149 3.85238601 2.42487972 1.160593          nan]
 [5.72569436 3.58469041 1.89710531 1.50645159 0.45875606]
 [5.75996649 4.3657062         nan 0.78098849 0.23771341]
 [6.3607743  4.07588522 2.34847899 0.93780161        nan]]",,-0.07640072804124198,-0.003787775680068912
1819,"[[5.85586128 4.16148951 2.51972362 1.69663952 0.6256691 ]
 [5.91699869 4.18698428 3.0169696  1.89685185 1.11374366]
 [5.69440656 4.60742828 2.69728299 2.09033203 0.87440972]
 [5.79524534 4.05247071 2.7043796  2.01704005        nan]
 [6.27486758 4.17059655 2.84745558 1.54401938 1.16623132]]",-1.6866642691040543,-0.16951402055669718,0.0011014848736005509
1820,"[[5.608495   4.37682669 2.10031462 1.74973151        nan]
 [5.75301087 3.68917598        nan 1.24238458 0.3899426 ]
 [5.45868248 4.07674898 2.64235232 1.35273029 0.33171503]
 [5.54238477 4.02033054 2.15984411 1.38101845 0.83727116]
 [5.50353942 3.78477144 2.7608235  1.04716228 0.47368008]]",-0.8401880630614547,,0.004135801766552877
1821,"[[5.46470537 4.22670651 2.93178442        nan 0.13427315]
 [5.61041286 3.91024794 2.36378383 0.84951351 0.43864154]
 [5.7190241  3.77855777 2.17852155 1.53565691 0.25972178]
 [5.89215202 3.89573445 2.42145297 1.32071085 0.65119595]
 [5.92325782 3.77839683 2.54061726 1.21295226 0.55354986]]",-1.1339411679822282,0.17683342199832985,-0.00024882237410602247
1822,"[[4.94300661 3.65764435        nan 1.18458244 0.38223803]
 [5.53653688 4.11631617 2.20191087 1.06974711 0.2229517 ]
 [5.51502629 3.95708169 2.26812109 1.07329249 0.09388115]
 [5.73658278 3.90999172 2.46235655 1.38809254 0.34825757]
 [5.85300416 2.95770562 2.33582106 1.60859086        nan]]",-1.2014069552020288,0.1339101886801055,0.00259818128783886
1823,"[[5.70005887 1.22627607 0.00835101 0.19661975 0.3418448 ]
 [4.62618365 1.93444337 0.04531167 0.23175799 0.32539315]
 [4.59261271 1.95340506 0.14206742 0.28613163 0.38967795]
 [5.19570196 1.24652106 0.08221504        nan 0.31360815]
 [4.59772601 1.3191022  0.13465665 0.23228878 0.37339147]]",,0.08934498177617044,-0.0028068029400029966
1824,"[[5.35797877 4.10891239 2.61059855 1.41254102 0.30866055]
 [5.52453201        nan 2.3641089  1.65009616 0.9843131 ]
 [5.81401502 3.68940749 2.52921023 1.46610285 0.6990552 ]
 [5.31308675 3.72525623 2.51620664 1.36454162 0.55938749]
 [5.04488282 3.81570858 2.23375927 1.47029201 0.70825902]]",-1.3358493376105711,-0.1303496328680298,0.005679497572628086
1825,"[[5.47423667 3.7161526  2.04998532 0.87771356 0.26870059]
 [5.33796881 3.72390662 2.30122692 1.24572219 0.28221293]
 [5.50097272 3.50403557 2.51687269 1.10593122 0.48790962]
 [4.88436861 3.96678919 2.1903998  1.55541581        nan]
 [6.07166728 4.15994323        nan        nan 0.19293909]]",-0.9847131070277899,,-0.0016277105670023098
1826,"[[5.84875471 3.59109354 2.61003752 1.51446587 0.62917523]
 [5.15312958 3.81449245 2.3174849         nan        nan]
 [5.04322169 3.86519854 1.97209024 1.3133936  0.80288774]
 [5.22933882        nan 2.76172901        nan 0.38837179]
 [5.34352933 3.49476383 2.37817615 1.35209508        nan]]",,0.060691259512924756,0.0033208168308249313
1827,"[[4.68602835 2.84882108        nan 0.26403042        nan]
 [4.66419755        nan 1.9104456  0.25282197 0.48372728]
 [5.35752091 3.49623526 1.47771336        nan 0.48655896]
 [5.12438833 3.30677608 1.20645808 0.6672467  0.16453058]
 [5.84047401 4.04516154 1.8878847  0.73693715 0.33192107]]",0.11330660571673712,-0.022560890896719643,0.004105315834080248
1828,"[[5.60424449 4.07899269 2.75043967 1.76779766 1.05576653]
 [5.40429592 3.71389106        nan 1.93177192 1.05748114]
 [5.27823418 3.68485729 3.13319444 1.70111608 0.83680822]
 [5.05640921 4.08785987 2.51194461 1.94070942 1.14822467]
 [5.1358189  3.57702035 2.75116377        nan 1.15959595]]",-1.4383693862182514,,-0.0014369772584578973
1829,"[[5.24337818 3.85644553 2.74319571 1.88004286 1.39136994]
 [4.76850054 3.51962025 2.81047062 1.68576922        nan]
 [5.22008208 3.94258481 2.28867427        nan 1.10001973]
 [5.13423782 3.89625849 2.70381358 1.85430723 0.99672165]
 [5.55028003 3.70759627 2.66760197 1.76944126 1.104953  ]]",-1.6828379480699185,-0.1428686453349246,-0.004896545702726485
1830,"[[5.22542669 3.71138186 2.40953196 1.376222   0.69609454]
 [5.36342479 3.70868142 2.73064863 1.59420381 0.93306648]
 [5.24960379        nan 2.21909331 1.8640616  0.99572582]
 [5.8728509  3.81503096 2.45581393 1.52840028        nan]
 [5.8402392  4.11601407 2.69837918 1.78264368        nan]]",-1.3124985950907346,-0.032269450841493796,0.000335649908513641
